                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                 1.0653,                 0.6011,                 1.0447,                0.91367,                0.97213,                0.96901,                0.70497,                 1.0015,                 0.4663,                 0.9769,               0.006106,               0.006106,               0.006106
                    121,                 1.0459,                0.59069,                 1.0441,                0.91978,                0.97481,                0.96904,                0.70845,                0.99631,                0.46557,                0.97594,               0.006073,               0.006073,               0.006073
                    122,                 1.0523,                0.59342,                 1.0471,                0.92025,                0.97287,                0.96929,                0.71005,                 0.9922,                0.46302,                 0.9732,                0.00604,                0.00604,                0.00604
                    123,                 1.0582,                0.58637,                 1.0521,                 0.9162,                0.97522,                0.96826,                0.70843,                0.99132,                0.45905,                 0.9723,               0.006007,               0.006007,               0.006007
                    124,                 1.0457,                0.59443,                  1.049,                0.91528,                0.97267,                0.96868,                0.70866,                0.98976,                0.45676,                0.97252,               0.005974,               0.005974,               0.005974
                    125,                 1.0523,                0.60099,                  1.052,                0.91572,                0.97184,                0.96935,                0.71071,                0.98629,                0.45538,                0.97111,               0.005941,               0.005941,               0.005941
                    126,                 1.0379,                0.58585,                 1.0379,                 0.9188,                0.96964,                   0.97,                0.71433,                0.98537,                0.45625,                 0.9714,               0.005908,               0.005908,               0.005908
                    127,                 1.0534,                0.58741,                 1.0457,                0.92662,                0.96702,                0.96916,                0.71239,                0.98675,                0.45756,                0.97069,               0.005875,               0.005875,               0.005875
                    128,                 1.0485,                 0.5861,                 1.0453,                0.92623,                  0.969,                0.97018,                0.71177,                0.98654,                0.45788,                0.97031,               0.005842,               0.005842,               0.005842
                    129,                 1.0416,                0.58093,                 1.0402,                0.92449,                0.96777,                0.96848,                0.71187,                0.98721,                0.45776,                0.97035,               0.005809,               0.005809,               0.005809
                    130,                  1.042,                0.58282,                 1.0416,                  0.921,                0.97183,                0.96941,                0.71061,                0.98533,                 0.4556,                0.97044,               0.005776,               0.005776,               0.005776
                    131,                 1.0493,                0.58122,                 1.0459,                0.91818,                0.97136,                0.97079,                 0.7095,                0.98754,                0.45322,                0.97169,               0.005743,               0.005743,               0.005743
                    132,                 1.0415,                0.58105,                 1.0438,                0.91658,                0.97174,                0.97096,                0.71467,                0.98654,                0.45407,                0.97166,                0.00571,                0.00571,                0.00571
                    133,                 1.0392,                0.58028,                 1.0351,                0.91834,                0.97152,                0.97051,                0.71224,                0.98603,                0.45425,                0.97111,               0.005677,               0.005677,               0.005677
                    134,                 1.0463,                0.58307,                 1.0448,                0.91875,                0.97056,                0.97021,                0.70974,                0.98674,                0.45429,                0.97006,               0.005644,               0.005644,               0.005644
                    135,                 1.0462,                0.57983,                 1.0403,                0.91871,                0.97009,                0.96914,                0.71114,                0.98852,                 0.4544,                0.96964,               0.005611,               0.005611,               0.005611
                    136,                 1.0355,                0.58145,                 1.0354,                0.91799,                 0.9702,                0.96927,                0.70765,                 0.9886,                0.45674,                0.96983,               0.005578,               0.005578,               0.005578
                    137,                  1.036,                0.57601,                 1.0326,                0.91713,                0.96973,                0.96934,                0.70701,                0.98845,                 0.4537,                0.96922,               0.005545,               0.005545,               0.005545
                    138,                 1.0513,                0.58021,                 1.0448,                0.91396,                 0.9715,                0.96922,                0.70824,                0.98453,                 0.4517,                0.96829,               0.005512,               0.005512,               0.005512
                    139,                 1.0165,                0.58244,                 1.0322,                0.91456,                 0.9709,                0.96998,                 0.7095,                0.98685,                0.45323,                 0.9684,               0.005479,               0.005479,               0.005479
                    140,                 1.0346,                0.57687,                 1.0328,                0.91389,                0.97324,                0.97008,                0.71037,                0.98413,                0.45411,                0.96813,               0.005446,               0.005446,               0.005446
                    141,                 1.0346,                0.57229,                  1.043,                0.91513,                0.97253,                0.97014,                0.71518,                0.98201,                0.45273,                0.96795,               0.005413,               0.005413,               0.005413
                    142,                 1.0204,                0.56076,                 1.0259,                0.91497,                0.97279,                0.97014,                0.71543,                0.98325,                0.45201,                0.96784,                0.00538,                0.00538,                0.00538
                    143,                 1.0285,                0.56444,                 1.0349,                0.91176,                0.97613,                0.97057,                0.71609,                0.98428,                 0.4527,                0.96784,               0.005347,               0.005347,               0.005347
                    144,                 1.0298,                0.57475,                 1.0373,                0.91158,                0.97618,                0.96998,                0.71328,                0.98343,                 0.4527,                0.96726,               0.005314,               0.005314,               0.005314
                    145,                 1.0341,                0.57679,                 1.0374,                0.91341,                0.97626,                0.96998,                0.71352,                0.98525,                0.45164,                0.96797,               0.005281,               0.005281,               0.005281
                    146,                 1.0302,                0.56234,                 1.0371,                0.91169,                0.97683,                0.96984,                  0.713,                0.98412,                0.44914,                0.96767,               0.005248,               0.005248,               0.005248
                    147,                 1.0289,                0.57732,                 1.0321,                0.91139,                0.97691,                 0.9698,                0.71172,                0.98437,                0.44971,                0.96772,               0.005215,               0.005215,               0.005215
                    148,                 1.0127,                0.56038,                 1.0288,                 0.9126,                0.97694,                0.97012,                0.71015,                0.98483,                0.44819,                0.96728,               0.005182,               0.005182,               0.005182
                    149,                 1.0239,                0.56371,                 1.0347,                0.91205,                0.97688,                0.97012,                0.71085,                0.98281,                0.44853,                0.96757,               0.005149,               0.005149,               0.005149
                    150,                 1.0324,                0.56901,                  1.037,                0.91221,                0.97693,                0.96971,                0.70973,                0.98311,                0.44838,                 0.9673,               0.005116,               0.005116,               0.005116
                    151,                 1.0053,                0.55601,                 1.0256,                0.91287,                0.97687,                0.97009,                0.70636,                0.98143,                0.44727,                0.96689,               0.005083,               0.005083,               0.005083
                    152,                 1.0046,                 0.5558,                 1.0255,                0.91234,                0.97668,                   0.97,                0.70504,                0.98304,                0.44775,                0.96774,                0.00505,                0.00505,                0.00505
                    153,                 1.0173,                0.56148,                  1.033,                0.90828,                0.97664,                0.96993,                0.70604,                0.98176,                0.44794,                 0.9679,               0.005017,               0.005017,               0.005017
                    154,                 1.0184,                0.55322,                 1.0329,                 0.9086,                0.97642,                0.97009,                0.70754,                0.98127,                0.44743,                0.96763,               0.004984,               0.004984,               0.004984
                    155,                 1.0203,                0.56456,                 1.0326,                0.90876,                0.97626,                0.96993,                0.70986,                0.98047,                0.44667,                0.96783,               0.004951,               0.004951,               0.004951
                    156,                 1.0249,                0.55907,                 1.0321,                0.90874,                0.97625,                0.96993,                0.70983,                0.98064,                0.44646,                  0.968,               0.004918,               0.004918,               0.004918
                    157,                 1.0162,                0.55828,                 1.0262,                  0.908,                 0.9762,                0.96994,                0.70844,                0.98141,                0.44773,                0.96755,               0.004885,               0.004885,               0.004885
